orgao,link,titulo,reclamacao
http://http://www.cultura.gov.br,https://cidadao.reclameaqui.com.br/277684/ministerio-da-cultura/ministerio-da-cultura-libera-verba-para-biografia-da-cantora/,Ministério da cultura libera verba para biografia da cantora Claudia Leitte ," 
        Indignada com a liberação da verba de R$365.000,00 para a publicação de uma biografia da cantora Cláudia Leitte. Reitero que de maneira alguma faço repúdio a cultura brasileira,esta deve ser promovida através de incentivo fiscal. Porém, em vez de ser revertida para a população, que, muitas vezes, não tem acesso a diversos tipos de entretenimento devido ao custo elevado, esta verba está erroneamente destinada a uma pessoa que possui plenas condições de arcar com os custos do livro.
 A história do nosso país é cada vez mais deturpada e desconhecida graças a uma massa que não reconhece suas origens, por isso o governo deveria investir e alimentar nos brasileiros o acesso a cultura de enriquecimento intelectual coletivo. Quantos indivíduos poderiam ser agraciados com a chance de poder assistir a uma peça de teatro ou possuir um livro a custos mais baixos de maneira mais abrangente no país. Esse desperdício de verba representa um desaforo aos cidadãos, uma verdadeira afronta ao dinheiro público e aos valores que deveriam ser preconizados em nome de uma sociedade mais culta e consciente.         "
http://http://www.cultura.gov.br,https://cidadao.reclameaqui.com.br/276100/ministerio-da-cultura/fatima-tayjen/,Fatima Tayjen ," 
        minha filha cursou um ano uma universidade com recurso do fies, porém ingressou em uma federal, portanto estou tentando encerrar o financiamento, bem como pagar o débito de um ano, e o site não permite, aparece um erro de aplicação e diz tente novamente. Ressalto que estou desde 23/12/15 tentando, ate mesmo para disponibilizar o valor para outro estudante, tento diariamente e nada, ja fiz contato telefonico com o fies, ja entrei em contato com o suporte do fies por email e nada. Então Sr Ministro Aloizio Mercadante preciso de uma posição, URGENTE, DA PATRIA EDUCADORA. SERÁ QUE DEVO RECORRER AO PODER JUDICIARIO PARA CANCELAR E PAGAR O FINANCIAMENTO? AGUARDO UMA SOLUÇÃO ;
o NUMERO DA DEMANDA É 1751025. MEU EMAIL É FATIMATAYJEN@GMAIL.COM         "
http://http://www.cultura.gov.br,https://cidadao.reclameaqui.com.br/277696/ministerio-da-cultura/falta-de-energia-constante-e-diaria/,Falta de energia constante e diária ," 
        Moro no Morumbi próximo ao shopping Jardim Sul e tem faltado energia todos os dias. São 7 quedas desde ontem. Os equipamentos eletrônicos vão queimar e eu terei que amargar com o prejuízo. 
A energia acaba sem chuva ou vento. O problema é antigo e a Eletropaulo faz pouco do consumidor ao dar prazos que nunca são cumpridos. 
Instalação 71136061.          "
http://http://www.cultura.gov.br,https://cidadao.reclameaqui.com.br/337462/ministerio-da-cultura/samsusung-blues-festival/,SAMSUSUNG Blues Festival ," 
        Enviei um email para vários emails do Ministério da Cultura e como é de extrema urgência de resposta e ainda não tive envio por aqui. 
Olá José Mattos e ao responsável pelo evento de Blues que está sendo realizado em São Paulo ontem, hoje e amanhã. 
Acabo de saber por uma publicidade paga via instagram desse show de Blues que está sendo realizado hj em São Paulo ao comprar vejo que custa R$ 100,00
Não compreendo como está descrito na lei rouanet que a contrapartida seria oferecer preços populares para eventos que são usados com essa lei. Ainda para iniciativa privada. 
Exijo o meu direito a entrada a esse evento amanhã a preço popular 
como faço para retirar 2 ingressos? 
https://www.bluesfest.com.br/
não consigo anexar o print do meu email ao adicionar a foto não há como anexa-la         "
http://http://www.cultura.gov.br,https://cidadao.reclameaqui.com.br/275427/ministerio-da-cultura/financiamento-estudantil-com-falhas/,Financiamento Estudantil com falhas ," 
        Passei para o curso de Psicologia pelo FIES (100%) na FACULDADE ESTÁCIO DO RIO GRANDE DO NORTE (em Natal-RN). Todavia, quando vou concluir minha inscrição pelo SISFIES tudo o que tenho direito é 92% de financiamento. Como pode isso, se consegui 100% pelo processo seletivo? Minha renda per capita é compatível com o financiamento. Por favor, me ajudem.
Grata.         "
http://http://www.cultura.gov.br,https://cidadao.reclameaqui.com.br/259247/ministerio-da-cultura/edital-de-intercambio-cultural-2015/,Edital de intercâmbio cultural 2015. ," 
        Edital de intercâmbio cultural 2015.
Sou proponente de um projeto no presente edital de seleção pública. 
Os prazos estipulados pelo edital ultrapassa a data que o próprio edital escolheu, que é a partir de 10 de novembro.
Conforme prazos estabelecidos pelo próprio edital:
16.4 Divulgar o resultado da fase de habilitação por meio de publicação no sítio eletrônico do Ministério da Cultura (www.cultura.gov.br) em até 30 (trinta) dias após o encerramento das inscrições de cada período, contendo o nome do projeto e do proponente, o município e a Unidade Federativa do proponente, e a razão do indeferimento, se for o caso, bem como o formulário próprio para interposição de recurso (Anexo I).
16.6 Divulgar e publicar o resultado preliminar da fase de avaliação e seleção, no sitio eletrônico do MinC (www.cultura.gov.br) em até 30 (trinta) dias após a divulgação do resultado final da fase de habilitação.
Falando com a ouvidoria me deram a seguinte resposta:
""Os prazos serão cumpridos, os prazos previstos no edital é uma forma de nos resguardar para não precisar realizar nenhuma errata dos subitens.
O MinC dispõe de até 30 dias após o fechamento das inscrições para divulgar o resultado, prevemos que logo no início de novembro esse resultado já esteja no ar.""
Levando em consideração os prazos estabelecidos pelo edital, mais o prazo conforme subitem 10.4, que é de 7 dias para entrega da documentação complementar. Fica claramente impossível fazer a viagem dentro da data estipulada pelo próprio MinC que é dia 10 de novembro. 
Isso sem contar com o prazo estabelecido no subitem 12.3. Do pagamento do aporte. Que é de mais 20 dias.
Se eles confirmam que o resultado sai no início de novembro e a viagem é para o início de novembro, como o MinC acha que os participantes terão tempo para adquirir bilhetes, seguro, hospedagem e tudo que demanda em uma viagem para fora do país?         "
http://http://www.cultura.gov.br,https://cidadao.reclameaqui.com.br/231582/ministerio-da-cultura/solicitacao-nao-atendida/,Solicitação não atendida ," 
        Fiz uma solicitação ano passado junto à Secretaria de Regulação e Supervisão da Educação Superior (Seres) do MEC devido à transferência assistida de alunos das extintas instituições de ensino ""Centro Universitário da Cidade - UniverCidade"" e ""Universidade Gama Filho"", na qual estava em final de curso e não consegui fazer minha transferência para a Estácio de Sá (instituição que ganhou a licitação).
O Protocolo da solicitação foi o 253246
Liguei para o antendimento telefônico também 2 vezes, e pediram para esperar.
Protocolo do atendimento 1ª ligação 20140000852505
Protocolo do atendimento 2ª ligação 20140001208148         "
http://http://www.cultura.gov.br,https://cidadao.reclameaqui.com.br/217209/ministerio-da-cultura/ausencia-do-nome-de-instituicao-de-ensino-superior-no-site-d/,Ausência do nome de instituição de ensino superior no site do ProUne ," 
        entrei no site do ProUne para saber informações da Universidade Norte do Paraná- Unopar, ao entrar no Balção de Atendimento e lá não consta o Nome dessa instituição.         "
http://http://www.cultura.gov.br,https://cidadao.reclameaqui.com.br/239637/ministerio-da-cultura/documentos-gama-filho-rj/,Documentos Gama filho rj ," 
        Precis do meu histórico escolar da faculdade de odontologia iniciada em 1996.1 finalizada em 1999.2 no Rio de Janeiro campus piedade 
Já tentei de tudo e ninguém responde nem mesmo o MEC. Preciso urgente. Não é tão difícil isso 
Roberto Gomes dos Santos.         "
http://http://www.cultura.gov.br,https://cidadao.reclameaqui.com.br/283421/ministerio-da-cultura/progressao-por-capacitacao/,progressão por capacitação ," 
        A minha reclamação se prende ao fato de ter ligado para o MEC e pedido orientação sobre a lei 12.772/2012, sobre horas excedidas em curso realizado para progressão por capacitação. O mesmo MEC me direcionou para um telefone dizendo que eu obteria resposta para o assunto (0800 616161), efetuei tal ligação e caiu no SESU. Fui atendido e a pessoa no qual expliquei meu caso que era : ""fiz um curso de aperfeiçoamento de 520 horas e sou do nível E. Passei de E1 para E2, sobrou horas excedidas que após 18 meses utilizei para passar para o nível E3"". Perguntei a pessoa e agora depois de ter passado 18 meses se poderia eu utilizar o restante das horas excedidas para passar para o nível E4. Ela falou que responderia através do meu email ""laugusto@pharma.ufrj.br"". Passado alguns minutos chegou a resposta : ""a universidade tem seus recursos humanos para lhe responder "". Fico em dúvida porque em 2008 houve questionamento da interpretação da lei 11.091/2005 quando tratava da passagem do nivel 1 para nivel 4, e isso houve questionamento até na justiça. Para que não haja isso, recorri ao MEC, já que a dúvida sobre o assunto paira na universidade do qual sou funcionário; por isso peço explicação, até por ser idoso (  65 anos) e merecedor da atenção do MEC.    
Aguardo resposta         "
