Sua matrícula,Id da reclamação,Insatisfação
116110089,13,5
116110089,7,4
116110089,9,3
116110089,12,4
116110089,14,3
116110089,15,4
116110089,2,2
116110089,6,5
113210893,7,3
113210893,9,2
113210893,12,2
113210893,14,3
113210893,8,4
113210893,11,4
114210792,2,2
114210792,1,4
114210792,6,5
114210792,12,1
114210792,9,3
114210792,14,3
114211022,1,5
114211022,2,4
114211022,6,5
114211022,7,3
114211022,8,4
114211022,9,1
114211022,10,2
114211022,11,5
114211022,12,2
114211022,13,5
114211022,14,4
114211022,15,4
113110054,1,5
113110054,2,2
113110054,6,5
113110054,15,3
113110054,7,2
113110054,12,2
115111490,7,2
115111490,9,3
115111490,13,4
115111490,14,3
115111490,12,2
116210757,7,2
116210757,9,4
116210757,13,5
116210757,15,3
116210757,14,3
116210757,12,2
116210757,2,1
116210757,1,5
116210757,6,5
116210757,10,4
116210757,11,5
114110443,1,5
114110443,2,1
114110443,6,4
114110443,9,1
114110443,14,3
114110443,12,2
114110443,15,1
114110443,7,2
114110443,8,4
114110421,2,3
114110421,14,3
114110421,12,3
114110421,1,4
114110421,8,5
114110421,6,4
114110421,11,5
114110421,9,2
114110421,15,2
114110421,13,5
114110469,1,4.5
112210045,13,5
112210045,9,2
112210045,15,3
112210045,7,3
112210045,14,3
112210045,11,4
112210045,12,2
114110469,2,2
114110469,6,4.5
114110469,15,3
114110469,7,1.5
114110469,12,1.5
114110469,9,2
114110469,14,2.5
114110469,8,4.5
115111777,8,4
115111777,11,5
115111777,10,4
115111777,9,3
115111777,14,3
117211056,9,3
117211056,7,2
117211056,13,5
117211056,15,1
117211056,12,2
117211056,14,2
117111895,6,5
117111895,10,3
117111895,14,3
117111895,8,4
117111895,11,2
117111895,9,2
117111895,15,4
117111895,2,2
117110369,1,5
117110369,2,2
117110369,6,5
117110369,14,3
117110369,10,4
117110369,11,5
117110369,9,2
117110369,15,2
117110369,8,5
115210590,15,2
115210590,12,1
115210590,14,3
115210590,9,2
115210590,7,3
115210590,13,5
116211094,11,3
116211094,10,2
116211094,13,4
116211094,7,2
116211094,8,4
114110449,12,1
114110449,14,4
114110449,15,2
114110449,9,2
114110449,6,4.5
114110449,7,1
114110449,13,5
114210196,6,4
114210196,15,2
114210196,9,2
114210196,12,2
114210196,7,2
114210196,14,3
114210196,8,4
114211312,7,2
114211312,3,2
114211312,5,3
114211312,9,3
114211312,2,2
112210437,1,4
112210437,2,3
112210437,12,2
112210437,4,2
112210437,10,2
112210437,6,5
112210437,7,3
112210437,14,3
112210437,13,2
112210437,10,3
112210437,11,5
112210437,15,3
112210437,9,2
112210642,8,3
112210642,11,4
112210642,10,2
112210642,9,2
112210642,12,2
112210642,7,2
112210642,13,4
114111753,8,4
114111753,10,2
114111753,11,5
114111753,7,1
114111753,9,2
114111753,13,5
115111424,8,3
115111424,11,4
115111424,7,2
115111424,13,4
115111424,9,3
