mat_avaliador,id_reclamação,insatisfação
112110089,9,1
112110089,19,3
112110089,29,4
114111372,2,4.5
114111372,12,2.5
117110369,89,5
112110089,39,3
112110089,49,1
112110089,59,2
112110089,69,2
112110089,79,1
112110089,89,4
112110089,99,2
112210045,5,3
112210045,15,2
112210045,25,3
112210045,35,3
112210045,45,1
112210045,55,2
116210757,7,2
116210757,17,4
116210757,27,3
116210757,37,4
116210757,47,1
116210757,57,3
116210757,67,5
116210757,77,3
116210757,87,1
116210757,97,3
116210757,107,5
116210757,117,2
116210757,127,3
116210757,137,2
116210757,147,3
116210757,157,5
116210757,167,4
116210757,177,5
116210757,187,4
116210757,197,4
116210757,207,3
116210757,217,1
116210757,227,2
114210196,16,5
114210196,26,4
114210196,36,3
112210078,8,2
112210078,18,4
112210078,28,2
112210078,38,4
112210078,48,1
112210078,58,3
112210078,68,4
112210078,78,2
112210078,88,1
112210078,98,3
112210078,108,5
112210078,118,3
112210078,128,2
112210078,138,2
112210078,148,4
112210078,158,4
112210078,168,2
112210078,178,4
112210078,188,3
112210078,198,2
112210078,208,2
112210078,218,1
112210078,228,2
112210078,238,4
112210078,248,3
112210078,258,2
112210078,268,3
112210078,278,1
112210078,288,3
112210078,298,3
112210078,308,5
112210078,318,4
117211056,6,2
117211056,16,3
117211056,26,2
117211056,46,1
117211056,76,2
114110483,3,3
114110483,13,4.5
114110483,23,4
114110483,33,2
114110483,43,1
114110483,53,2
114110483,63,3
114110483,73,3
114110483,83,4
114110483,93,5
114110483,103,2
114110483,113,3
114110483,123,1
114110483,133,1
114110483,143,2
114110483,153,4
114110483,163,1
114110483,173,5
114110483,183,5
114110483,193,5
114110483,203,3
114110483,213,1
114110483,223,3
114110483,233,2
114110483,243,3
114110483,253,3
114110483,263,3
114110483,273,3
114110483,283,4
114110483,293,2
114110483,303,5
114110483,313,4
114110443,3,3
114110443,13,4
114110443,23,4
114110443,33,3
114110443,43,0.5
114110443,53,0.5
114110443,63,1
114110443,73,4
114110443,83,2
114110443,93,4.5
114110443,103,0.5
114110443,113,0.5
114110443,123,0.5
114110443,133,0.5
114110443,143,0.5
114110443,153,3.5
114110443,163,1
114110443,173,4.5
114110443,183,4
114110443,193,4.5
114110443,203,0.5
114110443,213,0.5
114110443,223,1
114110443,233,4
114110443,243,3
114110443,253,2
114110443,263,4
114110443,273,3
114110443,283,2
114110443,293,3
114110443,303,5
114110443,313,3
