Matricula,ID da reclamação ,Grau de insatisfação
113110007,2,4
113110007,8,4
113110007,14,1
113110007,20,1
113110007,26,3
113110007,32,1
113110007,38,3
113110007,44,4
113110007,50,1
113110007,56,5
113111448,2,4
113111448,8,2
113111448,14,1
113111448,20,2
113111448,26,2
113111448,32,1
113111448,38,1
113111448,44,3
113111448,50,3
113111448,56,3
113210425,5,3
113210425,11,2
113210425,17,5
113210425,23,4
113210425,29,5
113210425,35,1
113210425,41,5
113210425,47,4
113210425,53,1
113210425,59,1
114110439,3,2
114110439,9,1
114110439,15,2
114110439,21,3
114110439,27,1
114110439,33,4
114110439,39,3
114110439,45,3
114110439,51,3
114110439,57,2
114110485,3,2
114110485,9,2
114110485,15,2
114110485,21,3
114110485,27,1
114110485,33,3
114110485,39,2
114110485,45,3
114110485,51,3
114110485,57,2
114111357,2,5
114111357,8,4
114111357,14,2
114111357,20,1
114111357,26,4
114111357,32,2
114111357,38,2
114111357,44,3
114111357,50,1
114111357,56,5
114111370,1,5
114111370,7,3
114111370,13,3
114111370,19,2
114111370,25,5
114111370,31,2
114111370,37,4
114111370,43,5
114111370,49,4
114111370,55,2
114111371,5,5
114111371,11,1
114111371,17,3
114111371,23,5
114111371,29,4
114111371,35,2
114111371,41,5
114111371,47,3
114111371,53,2
114111371,59,1
114210164,2,5
114210164,8,4
114210164,14,1
114210164,20,1
114210164,26,5
114210164,32,2
114210164,38,2
114210164,44,3
114210164,50,2
114210164,56,5
114210300,3,2
114210300,9,2
114210300,15,2
114210300,21,2
114210300,27,1
114210300,33,3
114210300,39,3
114210300,45,2
114210300,51,3
114210300,57,2
114210335,5,4
114210335,11,2
114210335,17,3
114210335,23,5
114210335,29,3
114210335,35,4
114210335,41,4
114210335,47,4
114210335,53,2
114210335,59,1
114211023,4,5
114211023,10,3
114211023,16,2
114211023,22,4
114211023,28,2
114211023,34,1
114211023,40,2
114211023,46,2
114211023,52,1
114211023,58,3
115110026,1,4
115110026,7,2
115110026,13,4
115110026,19,2
115110026,25,3
115110026,31,3
115110026,37,5
115110026,43,3
115110026,49,5
115110026,55,4
115110043,5,5
115110043,11,3
115110043,17,4
115110043,23,5
115110043,29,3
115110043,35,4
115110043,41,5
115110043,47,5
115110043,53,2
115110043,59,3
115110085,6,5
115110085,12,2
115110085,18,5
115110085,24,2
115110085,30,3
115110085,36,4
115110085,42,1
115110085,48,2
115110085,54,4
115110085,60,2
115110563,1,3
115110563,7,2
115110563,13,5
115110563,19,4
115110563,25,3
115110563,31,3
115110563,37,5
115110563,43,5
115110563,49,5
115110563,55,5
115110671,3,4
115110671,9,2
115110671,15,3
115110671,21,5
115110671,27,4
115110671,33,4
115110671,39,2
115110671,45,4
115110671,51,2
115110671,57,3
115110681,5,5
115110681,11,4
115110681,17,4
115110681,23,2
115110681,29,2
115110681,35,3
115110681,41,4
115110681,47,5
115110681,53,1
115110681,59,1
115111114,6,4
115111114,12,1
115111114,18,5
115111114,24,1
115111114,30,3
115111114,36,2
115111114,42,1
115111114,48,2
115111114,54,3
115111114,60,2
115111167,4,5
115111167,10,5
115111167,16,1
115111167,22,3
115111167,28,1
115111167,34,2
115111167,40,4
115111167,46,1
115111167,52,1
115111167,58,3
115111170,1,3
115111170,7,1
115111170,13,5
115111170,19,5
115111170,25,4
115111170,31,3
115111170,43,5
115111170,49,5
115111170,55,5
115111410,5,4
115111410,11,1
115111410,17,3
115111410,23,5
115111410,29,4
115111410,35,3
115111410,41,5
115111410,47,4
115111410,53,2
115111410,59,1
115111900,1,5
115111900,7,2
115111900,13,5
115111900,19,5
115111900,25,2
115111900,31,3
115111900,37,3
115111900,43,5
115111900,49,5
115111900,55,3
115210685,6,4
115210685,12,2
115210685,18,5
115210685,24,1
115210685,30,3
115210685,36,2
115210685,42,1
115210685,48,2
115210685,54,4
115210685,60,1
115210873,6,3
115210873,12,2
115210873,18,5
115210873,24,2
115210873,30,3
115210873,36,2
115210873,42,1
115210873,48,3
115210873,54,4
115210873,60,2
115210953,2,4
115210953,8,4
115210953,14,3
115210953,20,1
115210953,26,3
115210953,32,2
115210953,38,2
115210953,44,4
115210953,50,1
115210953,56,4
116110498,6,4
116110498,12,2
116110498,18,5
116110498,24,3
116110498,30,4
116110498,36,5
116110498,42,2
116110498,48,4
116110498,54,3
116110498,60,3
116210018,5,4
116210018,11,1
116210018,17,3
116210018,23,5
116210018,29,4
116210018,35,3
116210018,41,5
116210018,47,4
116210018,53,2
116210018,59,1
116210428,1,3
116210428,7,1
116210428,13,5
116210428,19,3
116210428,25,3
116210428,31,2
116210428,37,2
116210428,43,5
116210428,49,5
116210428,55,3
116210459,1,2
116210459,7,3
116210459,13,4
116210459,19,2
116210459,25,2
116210459,31,1
116210459,37,4
116210459,43,5
116210459,49,4
116210459,55,3
116210482,3,3
116210482,9,1
116210482,15,2
116210482,21,3
116210482,27,1
116210482,33,3
116210482,39,2
116210482,45,3
116210482,51,3
116210482,57,2
115110931,4,5
115110931,10,5
115110931,16,1
115110931,22,4
115110931,28,2
115110931,34,1
115110931,40,2
115110931,46,3
115110931,52,1
115110931,58,3
