id,sentimento_op30,palavras_op30,sentimento_sent,palavras_sent,palavras
1,8,33,1,3,181
2,-2,14,-1,1,125
3,-4,7,2,5,60
4,-2,21,4,4,140
5,3,7,1,2,60
6,-6,25,2,2,316
7,0,8,0,2,92
8,-1,2,0,0,28
9,1,7,0,0,43
10,2,21,0,5,222
11,-6,10,-3,3,103
12,3,4,0,0,43
13,3,36,4,9,276
14,5,14,-1,2,88
15,0,10,3,5,53
16,-2,23,-3,3,192
17,2,46,-1,3,410
18,0,18,-1,3,166
19,5,46,2,8,263
20,-1,7,-2,2,108
21,-3,7,-1,1,61
22,0,12,-3,3,105
23,3,34,-1,5,284
24,1,9,1,2,123
25,-1,3,1,1,53
26,-2,15,1,3,215
27,1,11,-2,4,95
28,-1,21,2,5,201
29,2,12,2,2,122
30,2,2,0,0,23
31,1,45,2,13,376
32,1,9,-2,2,67
33,1,14,-2,2,163
34,15,58,1,24,563
35,18,55,18,22,444
36,-1,27,-1,1,190
37,3,15,0,2,135
38,5,50,3,9,499
39,-6,43,-8,13,288
40,-2,14,-2,3,87
41,0,11,0,1,72
42,3,8,1,5,99
43,-2,2,0,0,35
44,6,28,1,4,183
45,1,7,1,1,63
46,2,5,-1,2,56
47,0,2,0,2,16
48,0,6,-1,1,37
49,1,10,-1,1,74
50,1,11,3,3,199
51,-6,19,-1,1,116
52,-1,7,1,2,83
53,1,3,0,0,19
54,-1,4,1,1,26
55,5,19,2,6,128
56,8,18,2,2,160
57,-1,11,3,4,98
58,-1,1,0,0,15
59,1,17,0,4,176
60,-2,23,2,5,209
61,-2,8,0,2,75
62,1,15,-1,6,101
63,6,13,0,0,108
64,1,3,0,0,33
65,3,8,1,1,73
66,-5,14,0,0,130
67,-2,26,-3,4,213
68,1,11,-1,3,83
69,16,49,9,13,433
70,0,5,1,3,33
71,0,8,-1,1,144
72,0,1,-1,1,22
73,2,25,-2,4,185
74,0,1,0,0,18
75,2,14,-1,1,111
76,0,4,2,2,43
77,0,4,-1,1,33
78,2,14,0,0,158
79,-2,8,-2,3,63
80,3,12,0,6,170
81,2,6,1,1,52
82,-5,18,-2,5,153
83,1,14,0,2,118
84,-2,24,-1,5,207
85,11,32,5,11,243
86,-3,26,-5,7,174
87,0,3,0,0,9
88,-2,7,-2,2,68
89,2,12,2,2,95
90,2,16,1,3,100
91,6,9,0,2,81
92,4,8,3,3,59
